Viaje;DistEuclidiana;DistManhattan;Imputada
1000100101;-1;-1;0
1000100102;-1;-1;0
1000100201;-1;-1;0
1000100202;-1;-1;0
1000100203;-1;-1;0
1000100204;-1;-1;0
1000100205;-1;-1;0
1000200101;936;1307;0
1000200102;1482;2039;0
1000200103;596;-1;1
1000200104;470;-1;1
1000200201;1051;1355;0
1000200202;1450;2047;0
1000200301;14991;16402;0
1000200302;14917;15670;0
1000200401;1742;2021;0
1000200402;1976;2712;0
1000200501;2146;2383;0
1000200502;2358;3116;0
1000200503;1528;1973;0
1000200504;1528;1973;0
1000200505;2020;2725;0
1000300101;13690;19214;0
1000300102;13690;19214;0
1000410101;13635;19075;0
1000410102;13635;19075;0
1000410201;1133;-1;1
1000410202;232;-1;1
1000410301;13927;19477;0
1000410302;13927;19477;0
1000410401;6723;9497;0
1000410402;6723;9497;0
1000410501;39940;55807;0
1000410502;39940;55807;0
1000520101;32407;38812;0
1000520102;32407;38812;0
1000520301;889;1169;0
1000520302;889;1169;0
1000610201;886;-1;1
1000610202;520;-1;1
1000610301;1170;1422;0
1000610302;1170;1422;0
1000700101;810;1091;0
1000700102;846;1004;0
1000700103;1642;2095;0
1000700104;810;1091;0
1000700105;810;1091;0
1000700106;398;448;0
1000700107;398;448;0
1000700108;676;800;0
1000700109;676;800;0
1000820101;11037;13103;0
1000820102;11037;13103;0
1000900101;31939;38398;0
1000900102;31939;38398;0
1000900201;3617;4430;0
1000900202;3617;4430;0
1000900203;31939;38398;0
1000900204;31939;38398;0
1000900301;36934;42046;0
1000900302;2180;2959;0
1000900303;34895;39087;0
1000900401;3447;4177;0
1000900402;254;-1;1
1000900403;826;-1;1
1000900404;620;-1;1
1000900405;475;-1;1
1000900406;797;-1;1
1000900407;3522;4319;0
1000900501;3197;3345;0
1000900502;3197;3345;0
1000900601;3447;4177;0
1000900602;348;-1;1
1000900603;3522;4319;0
1001020101;711;-1;1
1001020102;348;-1;1
1001020201;3903;4086;0
1001020202;3903;4086;0
1001020301;9941;13089;0
1001020302;9941;13089;0
1001120101;759;-1;1
1001120102;187;-1;1
1001120201;3314;3465;0
1001120202;3314;3465;0
1001120301;33187;41518;0
1001120302;33187;41518;0
1001400101;1643;-1;1
1001400102;1659;-1;1
1001400201;39109;48614;0
1001400202;39109;48614;0
1001400301;3274;3530;0
1001400302;3274;3530;0
1001610101;252;-1;1
1001610102;582;-1;1
1001700101;1835;2146;0
1001700102;1835;2146;0
1001700201;34003;40787;0
1001700202;34003;40787;0
1001800101;3775;3844;0
1001800102;3775;3844;0
1001800103;3981;5588;0
1001800104;3981;5588;0
1001800201;3981;5588;0
1001800202;3981;5588;0
1001800203;3981;5588;0
1001800204;3981;5588;0
1001800301;24774;33887;0
1001800302;24774;33887;0
1001800401;3981;5588;0
1001800402;3981;5588;0
1001920101;31488;36857;0
1001920102;31488;36857;0
1002000101;780;972;0
1002000102;780;972;0
1002000103;115;159;0
1002000201;908;924;0
1002000202;154;-1;1
1002000203;780;972;0
1002000204;908;924;0
1002000205;908;924;0
1002000206;908;924;0
1002000207;908;924;0
1002000301;1017;1351;0
1002000302;1017;1351;0
1002000303;1017;1351;0
