Persona;Edad
10001001;55
10001002;57
10001003;31
10002001;59
10002002;52
10002003;36
10002004;32
10002005;18
10003001;80
10004101;68
10004102;48
10004103;42
10004104;22
10004105;20
10005201;47
10005202;26
10005203;7
10006101;61
10006102;70
10006103;24
10007001;54
10008201;55
10009001;83
10009002;52
10009003;41
10009004;41
10009005;21
10009006;9
10010201;66
10010202;29
10010203;32
10010204;64
10011201;56
10011202;51
10011203;22
10014001;63
10014002;27
10014003;61
10016101;57
10017001;54
10017002;57
10017003;25
10017004;19
10017005;34
10018001;56
10018002;52
10018003;22
10018004;12
10019201;74
10020001;43
10020002;30
10020003;11
10022201;36
10022202;45
10022203;17
10022204;22
10023201;38
10024201;55
10024202;27
10024203;55
10024204;25
10024205;24
10025201;64
10025202;63
10026201;72
10026202;72
10027001;57
10027002;31
10027003;23
10028101;27
10028102;8
10029001;68
10029002;65
10030201;48
10030202;41
10030203;19
10030204;15
10030205;3
10031201;52
10031202;47
10031203;7
10031204;25
10032201;66
10032202;68
10033201;50
10033202;38
10033203;17
10033204;7
10034201;53
10034202;54
10034203;23
10034204;27
10035001;30
10035002;30
10036001;69
10036002;72
10037001;53
10037002;25
10037003;31
10037201;72
10038201;63
10038202;63
10039201;49
10039202;41
10039203;18
10039204;15
10039205;5
10040201;81
10040202;81
10040203;36
10041301;49
10041302;26
10042001;63
10042002;62
10045201;57
10045202;24
10045203;21
10045204;13
10045205;54
10046101;63
10046102;58
10046103;39
10046104;33
10046105;8
10047201;45
10047202;22
10048201;47
10048202;21
10048203;23
10049001;42
10049002;82
10050101;63
10050102;53
10050103;31
10050104;29
10050105;11
10050106;8
10050107;3
10051001;59
10051002;56
10051003;32
10051004;28
10051005;29
10052201;70
10052202;73
10052203;38
10052204;16
10052205;9
10053201;70
10054101;55
10054102;54
10054103;15
10054104;36
10056201;53
10056202;20
10057101;46
10057102;43
10057103;24
10057104;7
10057105;8
10058201;66
10058202;25
10059201;44
10059202;12
10059203;23
10060101;32
10060102;26
10060103;7
10060104;3
10061101;39
10061102;32
10061103;7
10061104;55
10061105;56
10062001;44
10062002;50
10062003;18
10062004;17
10062005;14
10062006;6
10062007;6
10063101;52
10063102;55
10064201;34
10064202;14
10064203;7
10064204;4
10065101;78
10066101;52
10066102;33
10067201;48
10067202;27
10067203;29
10067204;18
10067205;9
10067206;6
10068101;74
10068102;53
10068103;55
10068104;28
10069201;64
10069202;68
10070201;66
10070202;52
10071201;50
10071202;50
10071203;16
10071204;19
10072001;46
10072002;41
10072003;22
10072004;9
10072005;2
10072006;0
10073201;39
10073202;42
10073203;18
10073204;9
10073205;10
10073206;9
10074001;64
10075201;44
10075202;42
10075203;19
10076001;39
10076002;39
10076003;18
10076004;10
10077201;47
10077202;41
10077203;16
10078201;53
10078202;5
10079201;53
10079202;47
10079203;19
10079204;5
10080201;49
10080202;22
10080203;25
10081001;70
10081002;65
10081003;20
10081004;20
10081005;25
10082201;31
10082202;7
10082203;25
10083201;20
10083202;46
10083203;22
10083204;6
10084301;69
10085001;46
10085002;44
10085003;20
10085004;18
10085005;17
10086201;48
10086202;54
10086203;16
10087201;42
10088201;69
10088202;93
10089001;43
10089002;35
10089003;15
10089004;13
10089005;3
10090201;38
10090202;35
10090203;18
10090204;9
10090205;3
10091201;48
10091202;19
10091203;31
10091204;26
10091205;21
10091206;2
10092201;77
10093001;41
10093002;37
10093003;20
10093004;12
10093005;6
10094001;35
10094002;16
10094003;11
10096001;68
10097201;51
10097202;49
10097203;25
10097204;21
10097205;20
10097206;16
10097207;15
10098001;81
10098002;75
10098003;51
10098004;37
10098005;35
10098006;27
10098007;15
10099001;36
10099002;28
10099003;5
10099004;1
10100201;48
10100202;43
10100203;19
10101201;48
10101202;16
10102101;60
10102102;26
10103001;41
10103002;23
10103003;22
10103004;48
10104101;75
10105101;58
10105102;69
10105103;11
10106201;39
10106202;43
10107001;47
10107002;49
10107003;15
10107004;6
10108001;37
10108002;12
10108003;1
10109101;38
10109102;39
10109103;0
10110201;54
10110202;48
10110203;25
10110204;13
10111101;68
10111102;63
10112001;18
10112002;46
10114201;45
10114202;20
10114203;21
10115001;93
10115002;68
10116201;32
10117101;53
10117102;50
10117103;19
10118001;83
10119001;54
10119002;30
10119003;22
10120201;52
10120202;34
10120203;19
10120204;20
10120205;43
10120206;74
10121001;41
10121002;40
10121003;20
10121004;12
10121005;20
10122001;54
10122002;29
10122003;15
10122004;24
10122005;24
10122006;73
10123101;25
10123102;25
10123103;5
10124101;80
10124102;24
10125001;52
10125002;48
10125003;28
10125004;26
10125005;23
10125006;20
10125007;11
10125008;5
10125009;54
10125010;53
10126201;37
10126202;29
10126203;2
10127001;82
10127002;65
10127003;23
10128201;83
10129001;61
10129002;45
10129003;38
10129004;20
10129005;10
10130001;57
10130002;19
10130003;16
10131001;66
10132001;67
10132002;66
10132003;16
10133201;49
10133202;42
10134001;77
10134002;48
10134003;43
10134004;22
10134005;6
10135101;50
10135102;22
10135103;49
10135104;21
10136001;49
10136002;48
10136003;15
10137201;25
10137202;25
10137203;5
10138201;68
10138202;69
10138203;38
10138204;32
10139201;52
10139202;33
10139203;29
10139204;5
10140101;64
10141201;56
10141202;49
10141203;31
10141204;21
10142001;78
10142002;75
10143201;70
10144201;77
10144202;51
10144203;17
10145001;25
10145002;73
10145003;44
10145004;35
10146201;41
10146202;24
10146203;10
10146204;25
10146205;5
10147101;67
10147102;74
10147103;62
10147104;27
10148001;44
10148002;46
10148003;24
10148004;21
10149001;95
10150201;79
10150202;37
10150203;19
10151201;47
10151202;37
10151203;17
10151204;10
10152001;53
10152002;56
10153001;47
10153002;51
10153003;17
10153004;25
10153005;9
10154101;46
10154102;44
10154103;8
10154104;10
10154201;74
10154202;55
10155101;43
10155102;46
10155103;14
10155104;13
10156201;45
10156202;21
10156203;23
10156204;12
10157201;46
10157202;41
10157203;18
10157204;14
10157205;3
10157206;1
10158101;61
10159001;52
10159002;53
10159003;29
10159004;23
10160201;48
10160202;33
10160203;11
10160204;1
10161001;38
10161002;43
10161003;18
10161004;15
10161005;11
10162101;59
10162102;55
10162103;32
10162104;18
10162105;22
10163101;73
10163102;72
10164001;29
10164002;29
10164003;8
10164004;0
10165001;63
10165002;28
10166001;67
10166002;57
10166003;28
10166004;48
10167101;66
10167102;53
10168001;33
10168002;34
10168003;1
10169001;67
10169002;70
10170101;43
10170102;43
10170103;17
10170104;13
10171101;55
10171102;32
10171103;36
10171104;30
10172101;70
10172102;71
10172103;47
10173001;56
10173002;54
10173003;20
10173004;19
10174101;53
10174102;54
10174103;22
10174104;14
10174105;91
10175101;60
10175102;72
10176101;28
10176102;44
10176103;28
10176104;1
10176105;11
10177001;53
10177002;48
10177003;12
10178101;76
10178102;18
10179001;60
10179002;60
10179003;39
10180001;34
10180002;37
10180003;15
10180004;3
10181001;33
10181002;31
10181003;13
10182101;36
10182102;16
10182103;47
10182104;42
10182105;21
10182106;19
10182107;17
10182108;15
10182109;13
10183201;51
10183202;46
10183203;82
10183204;22
10183205;15
10184101;41
10184102;45
10184103;23
10184104;19
10184105;21
10184106;3
10184107;2
10187101;59
10187102;59
10187103;24
10187104;19
10188001;57
10188002;21
10189001;60
10190301;43
10190302;38
10190303;14
10190304;8
10190305;2
10191101;28
10191102;7
10192001;64
10193001;50
10193002;19
10194101;64
10194102;61
10194103;41
10194104;5
10194105;21
10194106;0
10195001;72
10195002;62
10196101;80
10196102;84
10196103;68
10197101;40
10197102;40
10197103;19
10197104;16
10197105;3
10198001;75
10198002;65
10199001;52
10199002;35
10199003;20
10199004;13
10200001;28
10200002;24
10200003;8
10201101;41
10201102;43
10201103;15
10201104;12
10201105;5
10202001;47
10202002;79
10202003;35
10203101;70
10203102;76
10204101;63
10205101;74
10205102;70
10205103;30
10205104;8
10206101;27
10206102;29
10206103;7
10207101;39
10207102;46
10207103;17
10207104;14
10207105;6
10208101;45
10208102;49
10208103;19
10208104;16
10208105;12
10209201;27
10209202;7
10209203;5
10209204;60
10209205;25
10210001;52
10210002;23
10210003;20
10210004;5
10210005;2
10211001;51
10211002;54
10211003;22
10211004;13
10212001;53
10212002;49
10212003;20
10213201;74
10213202;74
10213203;49
10213204;48
10213205;26
10213206;12
10214001;46
10214002;44
10214003;23
10214004;18
10215001;57
10215002;67
10216001;54
10216002;56
10216003;23
10216101;51
10216102;47
10216201;36
10216202;33
10216203;16
10216204;4
10220101;84
10220102;79
10221001;54
10221002;28
10221003;27
10221004;11
10221005;24
10221006;50
10222101;65
10222102;23
10222103;52
10222104;17
10222105;33
10223001;50
10223002;52
10223003;15
10224101;41
10224102;39
10224103;14
10224104;12
10225001;80
10226101;57
10226102;26
10226103;8
10230101;43
10230102;40
10230103;8
10230104;7
10231101;43
10231102;47
10231103;26
10232001;32
10232002;30
10232003;57
10232004;1
10233101;39
10233102;43
10233103;67
10234001;62
10235001;33
10235002;35
10235003;14
10235004;8
10235005;3
10236101;54
10236102;58
10236103;23
10236104;25
10236105;17
10237101;77
10237102;77
10238001;58
10238002;66
10238003;27
10239101;61
10239102;51
10239103;23
10240201;51
10240202;46
10240203;26
10240204;22
10241001;51
10241002;55
10241003;19
10242001;23
10242002;57
10242003;37
10242004;36
10243201;45
10243202;43
10243203;13
10244001;53
10244002;28
10245001;53
10245002;57
10246101;56
10246102;55
10246103;20
10247101;24
10247102;25
10247103;6
10248001;60
10248002;61
10248003;37
10248004;33
10248005;13
10248006;11
10248007;1
10249101;49
10249102;37
10249103;16
10249104;13
10250101;82
10250102;71
10250103;50
10250104;19
10251001;56
10251002;55
10251003;22
10251004;17
10252101;30
10252102;37
10252103;7
10253001;58
10253002;54
10253003;30
10253004;28
10253005;11
10254201;90
10254202;36
10254203;11
10255001;64
10255002;61
10255003;42
10255004;30
10255005;28
10255006;13
10256101;57
10256102;59
10257001;37
10257002;36
10257003;16
10257004;6
10257005;67
10258101;54
10258102;52
10258103;25
10258104;22
10258105;12
10259101;33
10259102;2
10260201;53
10260202;53
10260203;28
10260204;23
10261001;65
10261002;73
10261003;28
10261004;26
10261005;5
10262001;57
10263001;59
10263002;64
10263003;32
10263004;10
10263005;5
10263006;2
10264001;53
10264002;75
10265001;45
10265002;18
10265003;17
10265004;6
10266101;65
10267101;54
10268101;42
10268102;46
10268103;17
10269101;80
10269102;81
10269103;67
10270101;70
10271001;39
10271002;38
10271003;20
10271004;9
10272101;72
10272102;63
10272103;36
10273001;62
10273002;62
10273003;35
10274101;68
10274102;62
10274103;40
10275101;24
10275102;42
10275103;15
10275104;18
10276301;64
10276302;20
10277101;45
10277102;42
10277103;24
10277104;21
10277105;11
10278101;83
10278102;79
10279101;61
10279102;69
10280101;61
10280102;49
10280103;23
10280104;21
10280105;18
10281101;36
10281102;33
10281103;10
10281104;1
10281105;1
10282001;27
10282002;56
10282003;59
10282004;26
10282005;6
10282006;1
10283101;51
10283102;42
10283103;20
10284201;68
10284202;62
10284203;22
10284204;41
10284205;5
10285101;54
10285102;56
10285103;27
10285104;25
10286101;50
10286102;51
10286103;24
10286104;22
10286105;14
10287101;50
10287102;60
10287103;21
10287104;12
10288101;64
10288102;61
10288103;34
10289001;69
10289002;67
10289003;55
10290201;37
10290202;85
10291101;58
10291102;61
10292101;36
10292102;40
10292103;17
10292104;11
10292105;6
10292106;1
10293001;66
10293002;38
10293003;4
10294101;23
10294102;54
10294103;15
10295101;31
10295102;32
10295103;14
10295104;12
10296001;57
10296002;35
10296003;27
10296004;23
10296005;15
10296006;13
10296007;10
10296008;8
10296009;11
10296010;6
10296011;4
10296012;3
10296013;3
10297001;36
10297002;16
10297003;11
10297004;4
10298001;32
10298002;25
10298003;5
10298004;7
10299001;38
10299002;34
10299003;17
10299004;11
10299005;63
10300101;44
10300102;66
10300103;66
10301001;76
10301002;71
10301003;49
10301004;49
10301005;41
10302001;62
10302002;54
10302003;35
10303001;55
10303002;55
10303003;34
10303004;34
10303005;32
10303006;28
10303007;19
10303008;15
10303009;12
10303010;7
10303011;5
10303012;74
10304101;80
10305101;40
10305102;68
10305103;68
10306201;63
10306202;54
10306203;40
10306204;13
10306205;6
10307101;44
10307102;15
10308101;29
10308102;39
10308103;71
10309001;50
10309002;44
10309003;18
10309004;16
10310101;78
10310102;76
10311101;46
10311102;16
10311103;14
10312001;48
10312002;52
10312003;22
10312004;15
10313001;64
10313002;58
10313003;23
10313004;19
10313005;3
10314001;40
10314002;43
10314003;11
10315101;46
10315102;73
10315103;43
10315104;13
10316201;32
10316202;23
10316203;3
10316204;6
10317001;58
10317002;56
10317003;31
10318001;42
10318002;41
10318003;18
10318004;1
10319101;39
10319102;31
10319103;11
10319104;4
10319105;4
10320101;48
10320102;21
10321101;24
10321102;21
10321103;1
10322101;58
10322102;23
10322103;61
10323101;57
10323102;15
10323103;50
10324101;35
10324102;33
10324103;8
10324104;6
10325101;70
10325102;70
10326101;60
10326102;48
10326103;18
10327101;50
10328101;80
10329101;85
10330101;86
10331001;73
10331002;39
10331003;48
10331201;67
10331202;62
10333101;66
10334101;53
10334102;52
10334103;21
10335101;46
10335102;23
10335103;20
10335104;8
10335105;2
10335106;21
10335107;68
10336001;66
10336002;65
10336003;22
10337101;43
10337102;42
10337103;3
10338101;46
10338102;50
10338103;24
10338104;16
10339201;50
10339202;40
10339203;15
10340101;65
10340102;42
10340103;44
10340104;63
10341101;66
10341102;27
10342101;41
10342102;15
10342103;19
10342104;21
10342105;11
10342106;5
10343101;72
10343102;75
10344101;36
10344102;36
10344103;18
10344104;2
10345101;57
10345102;23
10346101;55
10346102;15
10347101;53
10347102;51
10348101;49
10349101;30
10349102;36
10349103;1
10349104;33
10350101;55
10350102;50
10350103;12
10351101;43
10351102;35
10351103;14
10351104;11
10352101;41
10352102;10
10353101;33
10353102;28
10353103;44
10353104;18
10354101;53
10354102;51
10354103;15
10355001;30
10355002;32
10355003;76
10355004;4
10355005;2
10356101;38
10356102;39
10356103;2
10357101;37
10357102;37
10357103;13
10357104;3
10357105;8
10358101;60
10358102;51
10358103;22
10359101;40
10359102;33
10359103;5
10360101;50
10360102;53
10360103;19
10360104;18
10360105;26
10361101;68
10361102;43
10362101;46
10362102;44
10362103;18
10362104;11
10363101;47
10363102;43
10363103;6
10363104;11
10363105;24
10364101;49
10364102;26
10364103;18
10364104;27
10364105;1
10365101;50
10365102;51
10365103;19
10366001;54
10366002;49
10366003;20
10366004;18
10366005;9
10367001;47
10367002;51
10368101;71
10368102;71
10369101;53
10369102;21
10370101;46
10370102;41
10370103;4
10371101;71
10371102;73
10372101;72
10372102;62
10372103;20
10373001;52
10373002;48
10373003;7
10373004;34
10374101;43
10374102;41
10374103;15
10375101;41
10375102;45
10375103;23
10375104;19
10376101;42
10376102;42
10376103;19
10377101;49
10377102;18
10377103;26
10377104;1
10378101;67
10378102;39
10378103;42
10379101;29
10379102;30
10379103;32
10379104;37
10380101;49
10380102;47
10380103;16
10380104;18
10381101;32
10381102;39
10382101;56
10383101;58
10384101;75
10384102;23
10384103;53
10385101;50
10385102;12
10386101;61
10387101;57
10387102;55
10387103;30
10388101;29
10388102;28
10388103;7
10388104;2
10389001;80
10389002;76
10389101;74
10389102;63
10391101;59
10391102;67
10392201;58
10392202;21
10392203;23
10393101;68
10393102;34
10393103;23
10394101;55
10395201;33
10396101;39
10397001;41
10397002;26
10397003;12
10398101;54
10398102;40
10398103;84
10399101;77
10399102;70
10399103;37
10399104;32
10400101;74
10400102;33
10400103;5
10400104;14
