Hogar;Sector;Zona;Comuna;DirCoordX;DirCoordY;Fecha;DiaAsig;TipoDia;Temporada;NumPer;NumVeh;NumBicAdulto;NumBicNino;Propiedad;MontoDiv;ImputadoDiv;MontoArr;ImputadoArr;IngresoHogar;Factor
100010;7;786;BUIN;335180,8019;6266420,975;14-04-2013;domingo;2;1;3;1;1;0;2;53000;0;100000;0;450845;136,393738
100020;7;785;BUIN;338410,2114;6265607,141;10-04-2013;miércoles;1;1;5;1;3;0;1;;0;120000;0;1019369;73,843597
100030;7;791;BUIN;327863,8248;6257800,086;23-08-2013;viernes;1;1;1;0;0;0;3;;0;70000;0;80000;180,722809
100041;7;791;BUIN;327864;6257800;23-08-2013;viernes;1;1;5;0;1;0;1;;0;80000;0;559259;150,379059
100052;7;783;BUIN;338480,8152;6267296,941;08-08-2013;jueves;1;1;3;0;0;0;1;;0;117771;1;710309;122,001518
100061;7;783;BUIN;338520,4611;6267243,59;08-08-2013;jueves;1;1;3;0;1;1;1;;0;120000;0;415053;122,001518
100070;7;783;BUIN;338672,2754;6267348,648;08-04-2013;lunes;1;1;1;1;0;0;1;;0;90000;0;231227;98,045624
100082;7;786;BUIN;338923,4993;6266488,784;09-08-2013;viernes;1;1;1;0;0;0;1;;0;140000;0;79133;114,663483
100090;7;785;BUIN;339472,5195;6262741,68;19-04-2013;viernes;1;1;6;0;3;1;1;;0;132271;1;1334494;118,012085
100102;7;786;BUIN;334850,7817;6266124,316;23-08-2013;viernes;1;1;4;0;2;0;1;;0;138696;1;1543874;108,940498
100112;7;786;BUIN;335866,8423;6266308,101;16-08-2013;viernes;1;1;3;0;1;0;1;;0;150000;0;278046;139,501297
100140;7;785;BUIN;338901,501;6262892,346;19-04-2013;viernes;1;1;3;0;2;0;1;;0;120000;0;619535;110,427055
100161;7;786;BUIN;338124,9988;6266113,566;08-08-2013;jueves;1;1;1;0;0;0;5;;0;112553;1;92754;114,663483
100170;7;783;BUIN;338672,0894;6266596,355;20-02-2013;miércoles;1;2;5;3;2;1;3;;0;150000;0;1200000;270,516083
100180;7;787;BUIN;338859,8374;6268671,365;21-03-2013;jueves;1;1;4;0;1;0;1;;0;120000;0;280000;204,814835
100192;7;786;BUIN;338018,8011;6266424,464;16-08-2013;viernes;1;1;1;0;0;0;1;;0;120000;0;184068;114,663483
100200;7;785;BUIN;338713,079;6265343,155;10-08-2012;viernes;1;1;3;0;1;1;3;;0;170000;0;274156;110,427055
100222;7;783;BUIN;338487,6568;6268439,356;21-03-2013;jueves;1;1;4;0;2;0;1;;0;90000;0;643128;95,274445
100232;7;783;BUIN;338399,8784;6268318,075;21-03-2013;jueves;1;1;1;0;1;0;2;85000;0;150000;0;120000;100,279488
100242;7;783;BUIN;338756,5334;6266656,237;09-08-2013;viernes;1;1;5;0;3;0;1;;0;100000;0;403936;83,442345
100252;7;792;BUIN;341877;6270590;15-05-2013;miércoles;1;1;2;2;0;0;1;;0;193981;1;600000;15,152181
100262;7;786;BUIN;337881,5539;6266177,896;23-02-2013;sábado;2;2;2;1;0;0;1;;0;260000;0;1586807;116,353302
100270;7;783;BUIN;338821,1269;6266668,492;20-02-2013;miércoles;1;2;3;1;1;0;1;;0;130000;0;182046;119,283798
100281;7;783;BUIN;339001,0763;6268411,752;10-04-2013;miércoles;1;1;2;0;1;1;5;;0;90000;0;163929;104,075729
100290;7;786;BUIN;339333,9988;6266135,413;12-05-2013;domingo;2;1;2;0;0;0;1;;0;118854;1;468043;119,004265
100302;7;786;BUIN;335115,4429;6266056,673;13-04-2013;sábado;2;1;5;1;2;1;5;;0;200000;0;526495;93,285820
