Id,Comuna
10,Calama
13,Copiapó
19,La Serena
21,Coquimbo
25,Ovalle
32,Salamanca
34,Valparaíso
35,Quintero
36,Puchuncaví
37,Viña Del Mar
38,Quilpué
40,Casablanca
42,San Antonio
44,Algarrobo
45,El Quisco
46,Cartagena
47,El Tabo
48,Quillota
50,La Calera
53,Limache
56,Cabildo
57,Papudo
58,Zapallar
59,La Ligua
60,San Felipe
63,Catemu
66,Los Andes
68,Rinconada
70,Santiago
71,Las Condes
72,Providencia
75,Conchalí
76,Colina
77,Renca
78,Lampa
79,Quilicura
80,Til Til
81,Quinta Normal
82,Pudahuel
83,Curacaví
85,Peñaflor
86,Talagante
87,Isla de Maipo
88,Melipilla
89,El Monte
90,María Pinto
91,Ñuñoa
92,La Reina
93,La Florida
94,Maipú
95,San Miguel
96,La Cisterna
97,La Granja
98,San Bernardo
99,Calera de Tango
100,Puente Alto
101,Pirque
102,San José de Maipo
103,Buin
104,Paine
105,Rancagua
106,Machalí
107,Graneros
108,San Pedro
109,Alhue
111,Mostazal
112,Doñihue
115,Peumo
116,Las Cabras
117,San Vicente
119,Requínoa
120,Olivar
121,Rengo
122,Malloa
124,San Fernando
126,Nancagua
137,Pichilemu
140,Curicó
145,Licantén
150,Talca
156,San Javier
157,Constitución
159,Linares
164,Parral
198,Arauco
227,Temuco
242,Pucón
322,Peñalolén
323,Macul
324,Cerro Navia
325,Lo Prado
326,San Ramón
327,La Pintana
328,Estación Central
329,Recoleta
330,Independencia
331,Vitacura
332,Lo Barnechea
333,Cerrillos
334,Huechuraba
335,San Joaquín
336,Pedro Aguirre Cerda
337,Lo Espejo
338,El Bosque
339,Padre Hurtado
998,No Especifica
