Id;EstacionMetro
1001;San Pablo (Línea 1)
1002;Neptuno (Línea 1)
1003;Pajaritos (Línea 1)
1004;Las Rejas (Línea 1)
1005;Ecuador (Línea 1)
1006;San Alberto Hurtado (Línea 1)
1007;Universidad Santiago(Línea 1)
1008;Estación Central (Línea 1)
1009;U.L.A. (Línea 1)
1010;República (Línea 1)
1011;Los Héroes (Línea 1)
1012;La Moneda (Línea 1)
1013;U. de Chile (Línea 1)
1014;Santa Lucía (Línea 1)
1015;U. Católica (Línea 1)
1016;Baquedano (Línea 1)
1017;Salvador (Línea 1)
1018;Manuel Montt (Línea 1)
1019;Pedro de Valdivia (Línea 1)
1020;Los Leones (Línea 1)
1021;Tobalaba (Línea 1)
1022;El Golf (Línea 1)
1023;Alcántara (Línea 1)
1024;Escuela Militar (Línea 1)
1025;Manquehue (Línea 1)
1026;Hernando de Magallanes (Línea 1)
1027;Los Dominicos (Línea 1)
2001;Vespucio Norte (Línea 2)
2002;Zapadores (Línea 2)
2003;Dorsal (Línea 2)
2004;Einstein (Línea 2)
2005;Cementerios (Línea 2)
2006;Cerro Blanco (Línea 2)
2007;Patronato (Línea 2)
2008;Cal y Canto (Línea 2)
2009;Santa Ana (Línea 2)
2010;Los Héroes (Línea 2)
2011;Toesca  (Línea 2)
2012;Parque O'Higgins (Línea 2)
2013;Rondizzoni (Línea 2)
2014;Franklin (Línea 2)
2015;El Llano (Línea 2)
2016;San Miguel (Línea 2)
2017;Lo Vial (Línea 2)
2018;Departamental (Línea 2)
2019;Ciudad del Niño  (Línea 2)
2020;Lo Ovalle (Línea 2)
2021;El Parrón (Línea 2)
2022;La Cisterna (Línea 2)
4001;Tobalaba (Línea 4)
4002;Cristóbal Colón (Línea 4)
4003;Francisco Bilbao (Línea 4)
4004;Príncipe de Gales (Línea 4)
4005;Simón Bolivar (Línea 4)
4006;Plaza Egaña (Línea 4)
4007;Los Orientales (Línea 4)
4008;Grecia (Línea 4)
4009;Los Presidentes (Línea 4)
4010;Quilín (Línea 4)
4011;Las Torres (Línea 4)
4012;Macul (Línea 4)
4013;Vicuña Mackenna (Línea 4)
4014;Vicente Valdés (Línea 4)
4015;Rojas Magallanes (Línea 4)
4016;Trinidad (Línea 4)
4017;San José De la Estrella (Línea 4)
4018;Los Quillayes (Línea 4)
4019;Elisa Correa (Línea 4)
4020;Hospital Sótero del Río (Línea 4)
4021;Protectora de la Infancia (Línea 4)
4022;Las Mercedes (Línea 4)
4023;Plaza Puente Alto (Línea 4)
4101;Vicuña Mackenna (Línea 4A)
4102;Santa Julia (Línea 4A)
4103;La Granja (Línea 4A)
4104;Santa Rosa (Línea 4A)
4105;San Ramón (Línea 4A)
4106;La Cisterna (Línea 4A)
5001;Plaza de Maipú (Línea 5)
5002;Santiago Bueras  (Línea 5)
5003;Del Sol (Línea 5)
5004;Monte Tabor (Línea 5)
5005;Las Parcelas (Línea 5)
5006;Laguna Sur (Línea 5)
5007;Barrancas (Línea 5)
5008;Pudahuel (Línea 5)
5009;San Pablo (Línea 5)
5010;Lo Prado (Línea 5)
5011;Blanqueado (Línea 5)
5012;Gruta de Lourdes (Línea 5)
5013;Quinta Normal (Línea 5)
5014;Cumming (Línea 5)
5015;Santa Ana(Línea 5)
5016;Plaza de Armas(Línea 5)
5017;Bellas Artes(Línea 5)
5018;Baquedano (Línea 5)
5019;Parque Bustamante (Línea 5)
5020;Santa Isabel (Línea 5)
5021;Irarrázabal (Línea 5)
5022;Ñuble (Línea 5)
5023;Rodrigo de Araya (Línea 5)
5024;Carlos Valdovinos (Línea 5)
5025;Camino Agrícola (Línea 5)
5026;San Joaquín (Línea 5)
5027;Pedrero (Línea 5)
5028;Mirador (Línea 5)
5029;Bellavista de la Florida (Línea 5)
5030;Vicente Valdés (Línea 5)
