Id;estacion_metro_cambio;Campo2
1;San Pablo (línea 1, combinación con línea 5);A
2;Los Héroes (línea 1, combinación con línea 2);B
3;Baquedano (línea 1, combinación con línea 5);C
4;Tobalaba (línea 1, combinación con línea 4);D
5;Santa Ana (línea 2, combinación con línea 5);E
6;Los Héroes (línea 2, combinación con línea 1);F
7;La Cisterna (línea 2, combinación con línea 4A);G
8;Tobalaba (línea 4, combinación con línea 1);H
9;Vicuña Mackenna (línea 4, combinación con línea 4A);I
10;Vicente Valdés (línea 4, combinación con línea 5);J
11;Vicuña Mackenna (línea 4A, combinación con línea 4);K
12;La Cisterna (línea 4A, combinación con línea 2);L
13;San Pablo (línea 5, combinación con línea 1);M
14;Santa Ana (línea 5, combinación con línea 2);N
15;Baquedano (línea 5, combinación con línea 1);O
16;Vicente Valdés (línea 5, combinación con línea 4);P
