Id;RecorridoTransantiago
4476;202 CONCHALI - CENTRO
4498;211C (METRO) LA CISTERNA - SAN BERNARDO (RECORRIDO CORTO)
4499;228 (METRO) LA CISTERNA - SAN FRANCISCO
4507;224C (METRO) VICENTE VALDES - GABRIELA (RECORRIDO CORTO)
4566;208C HUECHURABA - (METRO) ZAPADORES (RECORRIDO CORTO)
6359;201C (METRO) LA CISTERNA - SAN BERNARDO (RECORRIDO CORTO)
7385;219E EXPRESO (METRO) LA CISTERNA - VITACURA
7388;201EC EXPRESO (METRO) LOS HEROES - SAN BERNARDO (RECORRIDO CORTO)
7842;225 LAS CONDES - BAHIA CATALINA
7920;214E EXPRESO SANTA OLGA - MAPOCHO
8210;218E EXPRESO SAN BERNARDO - MATUCANA
8213;224 ÑUÑOA - GABRIELA
8218;202C EL CORTIJO - MAPOCHO (RECORRIDO CORTO)
8245;229 (METRO) LA MONEDA - SAN RAMON
8260;E18 HOSPITAL PADRE HURTADO - (METRO) BELLAVISTA
8262;E13 BAHIA CATALINA - (METRO) BELLAVISTA DE LA FL
8263;E14 SAN JOSE DE LA ESTRELLA - (METRO) BELLAVISTA
8265;E03 (METRO) LO OVALLE - JARDIN ALTO
8268;E07 (METRO) BELLAVISTA DE LA FLORIDA - GERONIMO
8311;E01 SAN JOSE DE LA ESTRELLA - (METRO) SANTA ROSA
8313;E09 (METRO) ELISA CORREA - (METRO) SANTA ROSA
8318;E02 (METRO) LO OVALLE - DIEGO PORTALES
8345;E15C BAHÖA CATALINA - (METRO) BELLAVISTA DE LA FLORIDA (RECORRIDO CORTO)
8349;E15 BAHÖA CATALINA - FROILAN LAGOS
8356;E11 DIEGO PORTALES - (METRO) SANTA ROSA
8362;G11 LO BLANCO - (METRO) LO OVALLE
8365;G16 (METRO) LA CISTERNA - SAN RAFAEL
8367;G17 ANGELMÓ - (METRO) LA CISTERNA
8369;G19 LO BLANCO - (METRO) SANTA ROSA
8374;G03 PORTEZUELO - SAN FRANCISCO
8379;G01 VILLA 4 DE SEPTIEMBRE - SANTA ROSA P. 21
8383;G18 SANTA ROSA P. 30 - (METRO) LO OVALLE
8390;G12 (METRO) LO OVALLE - CEMENTERIO METROPOLITANO
8404;G09 CEMENTERIO PARQUE SACRAMENTAL - PUERTA S
8410;G08 POBLACION LA SELVA - (METRO) LA CISTERNA
8412;G08V NOS - (METRO) LA CISTERNA
8418;G14 LO BLANCO - POBLACIÓN VALLE NEVADO
8420;G02 PLAZA SAN BERNARDO - PUENTE LOS MORROS
8423;G04 (METRO) LA CISTERNA - SANTO TOMAS
8427;G15 (METRO) LA CISTERNA - SANTO TOMAS
8429;G10 SANTO TOMAS - (METRO) SANTA ROSA
8438;G07 PLAZA SAN BERNARDO - LO HERRERA
8440;G22 VILLA ESPAÑA - (METRO) LA CISTERNA
8520;D08C PLAZA LA REINA - (METRO) FRANCISCO BILBAO (RECORRIDO CORTO)
8524;D14 (METRO) PEDRERO - (METRO) QUILIN
8527;D12 LAS PERDICES - (METRO) FRANCISCO BILBAO
8528;D10C (METRO) QUILIN - (METRO) CARLOS VALDOVINOS (RECORRIDO CORTO)
8530;D16 (METRO) QUILIN - (METRO) FRANCISCO BILBAO
8531;D15 DIAGONAL LAS TORRES - (METRO) FRANCISCO BILB
8534;D13 (METRO) BELLAVISTA DE LA FLORIDA - (METRO) IRARR
8550;D18 DIAGONAL LAS TORRES - (METRO) SANTA ISABEL
8557;D02 (METRO) IRARRAZAVAL - DIAGONAL LAS TORRES
8559;D08 AV. GRECIA - (METRO) FRANCISCO BILBAO
8560;D05 (METRO) FRANKLIN - LAS PERDICES
8566;D03 (METRO) TOESCA - LAS PARCELAS
8567;D11 DIAGONAL LAS TORRES - MALL ALTO LAS COND
8576;103 PROVIDENCIA - SAN JOAQUIN
8578;104C ÑUÑOA - MALL PLAZA TOBALABA (RECORRIDO CORTO)
8580;104 PROVIDENCIA - MALL PLAZA TOBALABA
8583;116 HUECHURABA - SANTIAGO CENTRO
8591;106 (METRO) MANUEL MONTT - LA FLORIDA
8594;102 (METRO) BLANQUEADO - MALL PLAZA TOBALABA
8600;105C RENCA - (METRO) ESTACION CENTRAL (RECORRIDO CORTO)
8602;106E EXPRESO (METRO) MANUEL MONTT - LA HIGUERA
8614;107 CIUDAD EMPRESARIAL - AV. DEPARTAMENTAL
8842;405C PLAZA ITALIA - VITACURA (RECORRIDO CORTO)
8844;414E EXPRESO (METRO) PUDAHUE - LOS TRAPENSES
8867;405 PLAZA ITALIA - TABANCURA
8868;411 (METRO) PEDRO DE VALDIVIA - PLAZA SAN ENRIQU
8877;403C PLAZA ITALIA - LA REINA (RECORRIDO CORTO)
8882;409 MAPOCHO - PLAZA SAN ENRIQUE
8887;416E EXPRESO MAIPU - VITACURA
8911;426C (METRO) ESCUELA MILITAR - LA DEHESA (RECORRIDO CORTO)
8917;410 RENCA - (METRO) PEDRO DE VALDIVIA
8918;408 RENCA - MAPOCHO
8937;303 QUILICURA - PLAZA ITALIA
8985;303E EXPRESO QUILICURA - (METRO) SANTA ANA
8987;301C2 (METRO) LA CISTERNA - LO BLANCO (RECORRIDO CORTO)
9065;513 COSTANERA SUR - JOSE ARRIETA
9069;514 CENTRO - SAN LUIS DE MACUL
9089;505 CERRO NAVIA - LAS PARCELAS
9094;502 CERRO NAVIA - TABANCURA
9095;506C (METRO) GRECIA - PEÑALOLEN (RECORRIDO CORTO)
9102;507 EL TRANQUE - AV. GRECIA
9107;511 (METRO) ESTACION CENTRAL - PEÑALOLEN
9109;510 (METRO) LOS HEROES - LAS PARCELAS
9111;508 AV. MAPOCHO - AV.LAS TORRES
9115;501 (METRO) PARQUE BUSTAMANTE - VITAL APOQUINDO
9116;504 EL TRANQUE - HOSPITAL DIPRECA
