Hogar;Vehiculo;TipoVeh;MarcaVeh;ModeloVeh;AnoVeh;EdadVehiculo;CilindradaVeh;Combustible;SelloVerde;Propiedad
100010;10001001;1;37;I10;2012;1;99999;1;2;1
100020;10002001;1;72;NO SABE;1997;4;1600;1;2;1
100070;10007001;3;65;PARTNER;2007;2;1900;2;2;1
100170;10017001;1;17;CAVALIER;1998;4;2200;1;2;1
100170;10017003;3;17;LUV;1998;4;2200;1;2;1
100170;10017002;5;39;FR;2003;3;2300;1;2;1
100252;10025202;2;123;SCOOTER;9999;9;200;1;1;1
100252;10025201;2;123;CHOPPER;9999;9;200;1;1;1
100262;10026201;1;17;OPTRA;2006;3;1600;1;2;1
100270;10027001;2;123;TORNADO;2010;1;250;1;2;1
100302;10030201;1;84;AERIO;2005;3;1600;1;2;1
100322;10032201;1;37;SANTA FE;2013;9;1600;1;2;1
100332;10033201;1;87;POLO;2001;4;1600;1;2;1
100350;10035001;1;86;YARIS;2010;1;1600;1;2;1
100402;10040201;1;45;SOUL;2011;1;1600;1;2;1
100420;10042001;3;86;HILUX;1975;5;99999;1;1;1
100461;10046101;5;37;FURGON;2005;3;99999;2;2;1
100472;10047201;1;37;SANTA FE;2012;1;1600;1;2;1
100541;10054101;1;61;TIIDA;2012;1;1600;1;2;1
100601;10060101;3;84;VITARA;1993;5;1500;1;2;1
100732;10073201;1;37;TUCSON;2010;1;2000;1;2;1
100792;10079201;3;17;HILUX;2007;2;99999;2;2;1
100802;10080201;1;37;ACCENT;2011;1;1400;1;2;1
100810;10081001;1;86;YARIS;2006;3;1600;1;2;1
100862;10086201;1;83;LEGACY;1999;4;1400;1;2;1
100890;10089002;5;45;BESTA;2007;2;2001;2;2;1
100890;10089001;1;86;YARIS;2007;2;1500;1;2;1
100912;10091201;1;17;SAIL;2012;1;1400;1;2;1
100972;10097201;1;61;V16;1994;5;1600;1;2;1
101012;10101201;1;29;PALIO;2003;3;1600;1;2;1
101030;10103001;1;30;FOCUS;9999;9;1800;1;1;1
101091;10109101;1;45;POP;1996;5;1100;1;2;1
101142;10114201;2;123;NO SABE;2011;1;99999;1;2;1
101171;10117101;1;17;SPARK;2010;1;1000;1;2;1
101220;10122002;1;16;IQ;2013;9;1500;1;2;1
101220;10122001;1;65;206;2006;3;99999;1;2;1
101262;10126202;1;17;SPARK;2007;2;1000;1;2;1
101262;10126201;5;0;SUV;2010;1;2000;2;2;1
101320;10132001;3;82;SPORT;2013;9;2000;1;2;1
101340;10134001;1;45;RIO;2000;4;1300;1;2;1
101351;10135101;1;17;LUV;1997;4;1800;1;2;1
101360;10136001;5;65;PARTNER;2004;3;1900;2;2;1
101382;10138201;1;17;CORSA;2006;3;1600;1;2;1
101382;10138203;1;87;GOLF;1998;4;1800;1;2;1
101382;10138202;1;17;SPARK;2010;1;1000;1;2;1
101412;10141201;2;123;NO SABE;2005;3;250;1;2;1
101450;10145001;1;46;SAMARA;1989;5;1500;1;1;1
101471;10147101;3;54;250;9999;9;9999;2;1;1
101502;10150201;1;17;CORSA;2006;3;1600;1;2;1
101541;10154101;1;45;MORNING;2008;2;1100;1;2;1
101590;10159001;1;61;TIIDA;2010;1;1600;1;2;1
101602;10160201;1;83;LEGACY;1995;5;1600;1;2;1
101610;10161001;1;17;CORSA;2001;4;1600;1;2;1
101621;10162101;1;45;AVELLA;1996;5;1300;1;2;1
101631;10163101;1;65;206;2008;2;1500;1;2;1
101640;10164001;1;84;CELERION;2013;9;1000;1;2;1
101650;10165001;1;17;CORSA;2000;4;1600;1;2;1
101650;10165002;3;17;LUV;1994;5;2300;1;2;1
101680;10168001;1;45;RIO;2008;2;800;1;2;1
101721;10172101;1;86;COROLLA XLI;2011;1;1800;1;2;1
101730;10173002;1;0;98;2006;3;99998;1;2;1
101730;10173001;1;54;2;2010;1;99998;1;2;1
101730;10173003;1;0;98;2011;1;99998;1;2;1
101741;10174101;3;30;98;2009;2;99998;1;2;1
101741;10174102;3;59;98;2011;1;99998;1;2;1
101751;10175102;3;42;98;2009;2;99998;1;2;1
101751;10175101;3;59;98;2009;2;99998;1;2;1
101761;10176101;1;17;AVEO;2010;1;99999;1;2;1
101770;10177001;3;17;98;1995;5;99998;1;2;1
101790;10179001;2;123;PIGLLO;2012;1;250;1;2;1
101800;10180002;1;17;;1992;5;4200;1;1;1
101800;10180001;3;17;NO;2007;2;3000;2;2;1
101810;10181001;1;17;CORSA;2000;4;1600;1;2;1
101821;10182103;3;17;98;2011;1;99998;1;2;1
101821;10182104;3;55;98;2012;1;99998;1;2;1
101821;10182101;1;84;98;2010;1;99998;1;2;1
101821;10182102;1;19;98;2011;1;99998;1;2;1
101903;10190301;1;24;150Y;1991;5;1500;1;2;1
101930;10193001;1;65;505;1991;5;99998;1;2;1
101941;10194101;1;86;TERCEL;1999;4;1500;1;2;1
101971;10197101;1;24;A 120;1990;5;1200;1;1;1
102011;10201101;1;0;98;2011;1;99998;1;2;1
102041;10204101;3;61;TERRANO;2008;2;1800;1;2;4
102071;10207101;1;17;MONZA;9999;9;1800;1;1;1
102081;10208101;1;17;CORSA;2005;3;1600;1;2;1
102160;10216001;1;0;9999;9999;9;99999;1;2;1
102162;10216201;1;22;RASER;1996;5;99999;1;2;1
102210;10221001;6;45;NO SABE;9999;9;99999;2;1;1
102221;10222102;1;83;98;1994;5;99998;1;2;1
102221;10222101;3;61;98;2003;3;99998;1;2;1
102261;10226101;5;37;I 10;2010;1;99999;1;2;1
102301;10230101;3;17;LUV;9998;9;99998;1;1;1
102311;10231101;1;84;800;2004;3;99999;1;2;1
102320;10232001;1;22;ESPERO;1997;4;99998;1;2;1
102350;10235001;1;65;98;1996;5;99998;1;2;1
102361;10236101;1;65;STATION;2000;4;99998;1;2;1
102371;10237101;1;61;V 16;1997;4;14000;1;2;1
102402;10240201;1;45;RIO;9998;9;99998;1;1;1
102461;10246101;1;86;YARIS;9998;9;99999;1;1;1
102461;10246102;1;17;CORSA;9998;9;99998;1;1;1
102461;10246103;1;84;ALTO;9998;9;99998;1;1;1
102471;10247101;1;87;BORA;2003;3;99999;1;2;1
102501;10250101;1;86;YARIS;2003;3;1500;1;2;1
102501;10250102;1;86;YARIS;2007;2;1500;1;2;1
102521;10252101;3;29;FIORINO;1994;5;99998;1;2;2
102550;10255002;1;72;II;9998;9;9999;1;1;1
102550;10255001;1;17;CORSA;2008;2;2000;1;2;1
102570;10257001;1;24;150;1981;5;1500;1;2;1
102602;10260201;1;0;206;2006;3;9999;1;2;1
102610;10261001;1;65;504;9998;9;9999;1;2;1
102681;10268101;1;0;98;9998;9;99998;1;1;4
102701;10270101;1;86;COROLLA;1998;4;1600;1;2;1
102710;10271001;1;0;S;2010;1;98;1;2;1
102721;10272101;1;0;AACCENT;2008;2;98;1;2;1
102721;10272102;1;0;CORSA;2010;1;98;1;2;1
102730;10273001;1;17;CORSA;2008;2;98;1;2;1
102741;10274101;1;86;S;2006;3;98;1;2;1
102741;10274102;3;0;S;2010;1;98;2;2;1
102771;10277101;1;17;SPARK;9998;9;1000;1;1;1
102791;10279101;1;86;YARIS;2000;4;99998;1;2;1
102801;10280101;1;45;POP;2008;2;99998;1;2;1
102811;10281101;1;0;98;9998;9;99998;1;1;1
102820;10282001;1;17;CAUTIVO;2012;1;99998;1;2;1
102831;10283101;1;37;98;2010;1;99998;1;2;1
102842;10284201;1;22;RACER;2002;3;9999;1;2;1
102851;10285101;1;86;COLROLLA;2005;3;99999;1;2;1
102851;10285102;3;17;S10;2001;4;99999;1;2;1
102861;10286101;3;17;CAPTIVA;2007;2;99999;2;2;1
102861;10286103;1;86;COROLLA;2006;3;99999;1;2;1
102861;10286102;3;59;1200;2007;2;99999;2;2;1
102871;10287102;3;59;MONTERO;2012;1;99998;1;2;1
102871;10287101;1;11;98;2013;9;99998;1;2;1
102881;10288101;1;82;CORANDO;9999;9;99999;1;1;1
102890;10289002;1;72;98;2012;1;99998;1;2;1
102890;10289001;1;0;98;2008;2;99998;1;2;1
102921;10292101;3;25;98;1993;5;99998;1;2;1
103001;10300102;3;82;MUSSO;2009;2;1800;1;2;1
103001;10300101;3;82;MUSSO;2010;1;1800;1;2;1
103010;10301001;3;0;TODO TERRENO;2010;1;99998;2;2;1
103030;10303001;3;0;LUV;2001;4;2000;1;2;1
103081;10308102;1;54;6;9998;9;99998;1;1;1
103081;10308101;1;18;99;9999;9;99998;1;1;1
103090;10309001;3;52;99;9999;9;99999;1;1;1
103090;10309002;1;86;YARIS;9998;9;99998;1;1;1
103101;10310101;1;86;YARIS;9998;9;99998;1;1;1
103111;10311101;3;84;GRAN MANADA;2010;1;99998;1;2;1
103140;10314001;1;0;98;2001;4;99998;1;2;1
103162;10316201;6;0;N;2007;2;98;1;2;4
103170;10317001;1;45;M;2008;2;98;1;2;1
103180;10318001;1;86;COROLA;2011;1;99998;1;2;1
103221;10322101;1;84;MARUTI;1999;4;800;1;2;1
103231;10323101;3;86;HILUX;2012;1;99998;1;2;1
103241;10324101;3;86;HILUX;2007;2;99998;1;2;1
103241;10324102;1;84;GX4;2007;2;99998;1;2;1
103331;10333101;3;0;SANTAFE;2010;1;2200;2;2;1
103360;10336001;1;61;V-16;1998;4;1600;1;2;1
103371;10337101;1;54;323;1999;4;1600;1;2;1
103381;10338101;1;65;206;1999;4;1600;1;2;1
103392;10339201;1;17;CORSA;2004;3;1600;1;2;1
103441;10344101;1;84;BALENO;2003;3;1600;1;2;1
103491;10349101;1;17;SPARK;2010;1;1600;1;2;1
103501;10350101;1;37;ACCENT;2001;4;1600;2;2;1
103511;10351101;1;86;YARIS;2009;2;1600;1;2;1
103541;10354101;1;37;ACCENT;2005;3;1600;1;2;1
103550;10355001;1;84;IGNIS;2009;2;1300;1;2;1
103591;10359101;1;0;ACCENT;2010;1;1600;1;2;1
103641;10364101;1;37;ACCENT;2009;2;1600;2;2;1
103651;10365101;1;86;TERCEL;2001;4;1600;1;2;1
103660;10366001;1;17;CORSA;2003;3;1600;1;2;1
103670;10367001;1;83;LEGASY;1976;5;1200;1;2;1
103741;10374101;1;65;306;2003;3;1600;1;2;1
103751;10375101;4;45;1100;1998;4;2400;2;2;1
103751;10375102;4;45;1100;2003;3;2500;2;2;1
