COMUNA;DC;NOM_DISTRITO
1101;1;PUERTO
1101;2;BARRIO INDUSTRIAL
1101;3;HOSPITAL
1101;4;CAUPOLICÁN
1101;5;PLAYA BRAVA
1101;6;CAVANCHA
1101;7;PARQUE BALMACEDA
1101;8;ARTURO PRAT
1101;9;PUNTA LOBOS
1101;10;GOMEZ CARREÑO
1101;11;LA TIRANA
1107;1;AUTÓDROMO
1107;2;ALTO HOSPICIO
1107;3;SANTA ROSA
1107;4;PAMPA DEL MOLLE
1401;1;POZO ALMONTE
1401;2;MAMIÑA
1401;3;LA TIRANA
1401;5;GUATACONDO
1401;6;LAGUNAS
1401;7;BUENAVENTURA
1402;1;CAMIÑA
1403;1;ISLUGA
1403;2;CARIQUIMA
1403;3;PUCHULDIZA
1403;4;CAICO
1404;1;HUARA
1404;2;TARAPACÁ
1404;3;GUAVIÑA
1404;4;PISAGUA
1404;5;TANA
1404;6;MIÑIMIÑE
1404;7;CHIAPA
1404;8;SOGA
1405;1;PICA
1405;2;SALAR DE COPOSA
1405;3;CANCOSA
1405;4;SALAR DEL HUASCO
2101;1;LA CHIMBA
2101;2;PORTALES
2101;3;BARRIO INDUSTRIAL
2101;4;ARTURO PRAT
2101;5;MIRAMAR
2101;6;COMERCIO
2101;7;RESIDENCIAL
2101;8;ESTADIO REGIONAL
2101;9;HUANCHACA
2101;10;COLOSO
2101;11;MANTOS BLANCOS
2101;12;AGUAS BLANCAS
2101;13;SALAR PUNTA NEGRA
2101;14;HUAMACHUCO
2101;15;IRARRÁZAVAL
2101;16;PEDRO AGUIRRE CERDA
2101;17;OSCAR BONILLA
2101;18;SALAR DEL CARMEN
2102;1;MEJILLONES
2102;2;CALETA LOS HORNOS
2103;1;PAMPA UNIÓN
2103;2;BOQUETE
2103;3;BAQUEDANO
2103;4;SALINAS
2104;1;EL PUERTO
2104;2;FERROCARRIL
2104;3;LA CALETA
2104;4;PAPOSO
2104;5;SANTA LUISA
2104;7;CATALINA
2104;8;GUANACO
2104;9;QUEBRADA DEL JUNCAL
2201;1;CALAMA
2201;2;CHUQUICAMATA
2201;3;VOLCÁN MIÑO
2201;5;REGIMIENTO
2201;6;CEMENTERIO
2201;7;BERNARDO O'HIGGINS
2201;8;JAVIERA CARRERA
2201;9;CHACABUCO
2201;10;MANUEL RODRÍGUEZ
2201;11;MAIPÚ
2201;12;INDEPENDENCIA
2201;13;CHIUCHIU
2201;14;AEROPUERTO EL LOA
2201;15;CASPANA
2202;1;OLLAGÜE
2202;2;ASCOTÁN
2203;1;SAN PEDRO DE ATACAMA
2203;2;TOCONAO
2203;3;SOCAIRE
2301;1;COMERCIO
2301;2;HOSPITAL
2301;3;GUACHÁN
2301;4;BARRILES
2301;5;GATICO
2301;6;ESTACIÓN
2302;1;QUILLAGUA
2302;3;TOCO
2302;4;MARÍA ELENA
2302;5;FRANCISCO VERGARA
2302;6;PEDRO DE VALDIVIA
3101;1;SALAS
3101;2;INFANTE
3101;3;LETELIER
3101;4;PLAZA
3101;5;MÁQUINA DEL PUENTE
3101;6;CERRO
3101;7;REGIMIENTO
3101;8;LOS AROMOS
3101;9;CEMENTERIO
3101;10;CANDELERO
3101;11;UNIVERSIDAD
3101;12;TOLEDO
3101;13;CASTILLA
3101;14;CERRO BLANCO
3101;15;PUNTA DE DÍAZ
3101;16;VIÑITA
3101;17;MONTE AMARGO
3101;18;CARRERA PINTO
3101;19;PUQUIOS
3101;20;SAN MIGUEL
3101;21;PUNTA NEGRA
3101;22;TOTORAL
3101;23;ELEUTERIO RAMÍREZ
3101;24;DIEGO DE ALMAGRO
3102;1;CALDERA
3102;2;TOTORALILLO
3102;3;PUERTO VIEJO
3102;4;TOTORAL
3103;1;TIERRA AMARILLA
3103;2;LOMAS BAYAS
3103;3;LA JUNTA
3103;4;SAN ANTONIO
3103;5;LOS LOROS
3103;6;BORDOS
3103;7;PABELLÓN
3201;1;CHAÑARAL
3201;2;SALADO
3201;3;FLAMENCO
3202;1;DIEGO DE ALMAGRO
3202;2;SALVADOR
3202;3;POTRERILLOS
3202;4;INCA DE ORO
3301;1;SARGENTO ALDEA
3301;2;O'HIGGINS
3301;3;LIBERTAD
3301;4;HERMANOS CARRERA
3301;5;LOS CANALES
3301;6;EL ZAPALLO
3301;7;VIZCACHITAS
3301;8;DOMEYKO
3301;9;LAS VENTANAS
3301;10;ALGARROBAL
3301;11;LAS CUÑAS
3301;12;IMPERIAL
3301;13;INCAGUASI
3301;15;CAMARONES
3302;1;ALTO DEL CARMEN
3302;2;LA MARQUESA
3302;3;EL TRÁNSITO
3302;4;CONAY
3302;5;LA PAMPA
3302;6;LA HIGUERITA
3302;7;SAN FÉLIX
3302;8;LA MAJADA
3302;9;RETAMO
3302;10;EL CORRAL
3302;11;ALGODÓN
3302;12;SIERRA CATALINA
3303;1;CAPOTE
3303;2;FREIRINA
3303;3;QUEBRADITA
3303;4;CARRIZALILLO
3304;1;HUASCO
3304;2;CARRIZAL
4101;1;INTENDENCIA
4101;2;MERCADO
4101;3;FRANCISCO DE AGUIRRE
4101;4;LAS VEGAS
4101;5;LA PAMPA
4101;6;LA FLORIDA
4101;7;ALGARROBITO
4101;8;PORVENIR
4101;9;LAS ROJAS
4101;10;ROMERO
4101;11;CONDORIACO
4101;12;ALMIRANTE LATORRE
4101;13;ISLÓN
4101;14;LA COMPAÑÍA
4101;15;UNIVERSIDAD
4101;16;LA COMPAÑÍA ALTA
4101;17;EL OLIVAR
4102;1;ADUANA
4102;2;LORD COCHRANE
4102;3;BUEN PASTOR
4102;4;BAQUEDANO
4102;5;CANTERA
4102;6;PAN DE AZÚCAR
4102;7;CERRILLOS
4102;8;LA HERRADURA
4102;9;ESTACIÓN
4102;10;EL PEÑÓN
4102;11;TAMBILLOS
4102;12;LAS CARDAS
4102;13;CAMARONES
4102;14;EL TANGUE
4102;15;TONGOY
4102;16;GUANAQUEROS
4102;17;TIERRAS BLANCAS
4102;18;LAS ROSAS
4103;1;ANDACOLLO
4103;2;CORRAL QUEMADO
4103;3;MAITENCILLO
4103;4;LA CALDERA
4104;1;LA HIGUERA
4104;2;QUEBRADA HONDA
4104;3;EL TOFO
4104;4;CRUZ GRANDE
4104;5;LOS CHOROS
4104;6;EL TRAPICHE
4104;7;TRES CRUCES
4104;8;PUNTA COLORADA
4104;9;EL TORNO
4105;1;PAIGUANO
4105;2;LA QUEBRADA
4105;3;LA BAJADA
4105;4;QUEBRADA DE PINTO
4105;5;MONTE GRANDE
4105;6;ALCOGUÁS
4105;7;PISCO ELQUI
4105;8;JARILLAS
4106;1;VICUÑA NORTE
4106;2;VICUÑA SUR
4106;3;SAN ISIDRO
4106;4;DIAGUITAS
4106;5;PERALILLO
4106;6;EL TAMBO
4106;7;ALGODONES
4106;8;EL ARRAYÁN
4106;9;EL MOLLE
4106;10;MARQUESA
4106;11;GUALLIGUAICA
4106;12;RIVADAVIA
4106;13;VARILLAR
4106;15;GUANTA
4201;1;CIUDAD ORIENTE
4201;2;CIUDAD PONIENTE
4201;3;QUILLAICILLO
4201;4;TUNGA NORTE
4201;5;PLAN DE HORNOS
4201;6;HACIENDA ILLAPEL
4201;7;LIMAHUIDA
4201;8;CHOAPA
4201;9;CUZCUZ
4201;10;TUNGA SUR
4201;11;CHILLÁN
4201;12;SANTA VIRGINIA
4202;1;MINCHA
4202;2;QUELÓN
4202;3;HUENTELAUQUÉN SUR
4202;4;HUENTELAUQUÉN NORTE
4202;5;PUERTO OSCURO
4202;6;LAS PALMAS
4202;7;ESPÍRITU SANTO
4202;8;CHILCAL
4202;9;COLIGÜE
4202;10;LOS POZOS
4202;11;CANELA ALTA
4202;12;CANELA BAJA
4202;13;AGUA FRÍA
4202;14;ATELCURA
4203;1;LOS VILOS
4203;2;LAS VACAS
4203;3;CAIMANES
4203;4;TILAMA
4203;5;LOS CÓNDORES
4203;6;GUANGALÍ
4203;7;QUILIMARÍ
4203;8;CHIGUALOCO
4204;1;SALAMANCA
4204;2;CHALINGA
4204;3;TEBAL
4204;4;ARBOLEDA GRANDE
4204;5;CUNLAGUA
4204;6;SAN AGUSTÍN
4204;7;SANTA ROSA
4204;8;LLIMPO
4204;9;CHILLEPÍN
4204;10;CUNCUMÉN
4204;11;TRANQUILLA
4204;12;COIRÓN
4204;13;QUELÉN
4204;14;TAMBO
4204;15;TAHUINCO
4204;16;CHICHIÑI
4204;17;HIGUERILLA
4301;1;FERROCARRIL
4301;2;PLAZA DE ARMAS
4301;3;MIRADOR
4301;4;LA CHIMBA
4301;5;LIMARÍ
4301;6;TALHUÉN
4301;7;EL INGENIO
4301;8;LAGUNILLAS
4301;9;ANGOSTURA
4301;10;HIGUERITAS
4301;11;PANULCILLO
4301;12;PEJERREYES
4301;13;ALGARROBO
4301;14;GUAMALATA
4301;15;SAMO BAJO
4301;16;SOTAQUÍ
4301;17;LA PALOMA
