REGION;PROVINCIA;COMUNA;DC;AREA;ZONA;NOM_URBANO;CAT;REGION_15R;PROVINCIA_15R;COMUNA_15R
1;11;1101;1;1;1;IQUIQUE;1;1;11;1101
1;11;1101;1;1;2;IQUIQUE;1;1;11;1101
1;11;1101;2;1;1;IQUIQUE;1;1;11;1101
1;11;1101;2;1;2;IQUIQUE;1;1;11;1101
1;11;1101;2;1;3;IQUIQUE;1;1;11;1101
1;11;1101;2;1;4;IQUIQUE;1;1;11;1101
1;11;1101;2;1;5;IQUIQUE;1;1;11;1101
1;11;1101;3;1;1;IQUIQUE;1;1;11;1101
1;11;1101;3;1;2;IQUIQUE;1;1;11;1101
1;11;1101;3;1;3;IQUIQUE;1;1;11;1101
1;11;1101;3;1;4;IQUIQUE;1;1;11;1101
1;11;1101;4;1;1;IQUIQUE;1;1;11;1101
1;11;1101;4;1;2;IQUIQUE;1;1;11;1101
1;11;1101;4;1;3;IQUIQUE;1;1;11;1101
1;11;1101;4;1;4;IQUIQUE;1;1;11;1101
1;11;1101;4;1;5;IQUIQUE;1;1;11;1101
1;11;1101;4;1;6;IQUIQUE;1;1;11;1101
1;11;1101;5;1;1;IQUIQUE;1;1;11;1101
1;11;1101;5;1;2;IQUIQUE;1;1;11;1101
1;11;1101;5;1;3;IQUIQUE;1;1;11;1101
1;11;1101;5;1;4;IQUIQUE;1;1;11;1101
1;11;1101;5;1;5;IQUIQUE;1;1;11;1101
1;11;1101;5;1;6;IQUIQUE;1;1;11;1101
1;11;1101;6;1;1;IQUIQUE;1;1;11;1101
1;11;1101;6;1;2;IQUIQUE;1;1;11;1101
1;11;1101;6;1;3;IQUIQUE;1;1;11;1101
1;11;1101;6;1;4;IQUIQUE;1;1;11;1101
1;11;1101;6;1;5;IQUIQUE;1;1;11;1101
1;11;1101;7;1;1;IQUIQUE;1;1;11;1101
1;11;1101;7;1;2;IQUIQUE;1;1;11;1101
1;11;1101;7;1;3;IQUIQUE;1;1;11;1101
1;11;1101;7;1;4;IQUIQUE;1;1;11;1101
1;11;1101;8;1;1;IQUIQUE;1;1;11;1101
1;11;1101;8;1;2;IQUIQUE;1;1;11;1101
1;11;1101;8;1;3;IQUIQUE;1;1;11;1101
1;11;1101;8;1;4;IQUIQUE;1;1;11;1101
1;11;1101;10;1;1;IQUIQUE;1;1;11;1101
1;11;1101;10;1;2;IQUIQUE;1;1;11;1101
1;11;1101;10;1;3;IQUIQUE;1;1;11;1101
1;11;1101;10;1;4;IQUIQUE;1;1;11;1101
1;11;1101;10;1;5;IQUIQUE;1;1;11;1101
1;11;1101;10;1;6;IQUIQUE;1;1;11;1101
1;11;1101;11;1;1;IQUIQUE;1;1;11;1101
1;11;1101;11;1;2;IQUIQUE;1;1;11;1101
1;11;1101;11;1;3;IQUIQUE;1;1;11;1101
1;11;1101;11;1;4;IQUIQUE;1;1;11;1101
1;11;1101;11;1;5;IQUIQUE;1;1;11;1101
1;11;1101;11;1;6;IQUIQUE;1;1;11;1101
1;11;1101;11;1;7;IQUIQUE;1;1;11;1101
1;11;1101;11;1;8;IQUIQUE;1;1;11;1101
1;11;1101;11;1;9;IQUIQUE;1;1;11;1101
1;11;1101;11;1;10;IQUIQUE;1;1;11;1101
1;11;1101;11;1;11;IQUIQUE;1;1;11;1101
1;11;1101;11;1;12;IQUIQUE;1;1;11;1101
1;11;1101;11;1;13;IQUIQUE;1;1;11;1101
1;11;1101;11;1;14;IQUIQUE;1;1;11;1101
1;11;1107;1;1;1;ALTO HOSPICIO;1;1;11;1107
1;11;1107;1;1;2;ALTO HOSPICIO;1;1;11;1107
1;11;1107;1;1;3;ALTO HOSPICIO;1;1;11;1107
1;11;1107;2;1;1;ALTO HOSPICIO;1;1;11;1107
1;11;1107;2;1;2;ALTO HOSPICIO;1;1;11;1107
1;11;1107;2;1;3;ALTO HOSPICIO;1;1;11;1107
1;11;1107;2;1;4;ALTO HOSPICIO;1;1;11;1107
1;11;1107;2;1;5;ALTO HOSPICIO;1;1;11;1107
1;11;1107;2;1;6;ALTO HOSPICIO;1;1;11;1107
1;11;1107;2;1;7;ALTO HOSPICIO;1;1;11;1107
