id,PAIS
2,África
998,No aplica
999,Missing
5,Sudamérica
9,Oceanía
10,Antártida
12,Argelia
13,Centroamérica
21,Norteamérica
29,Caribe
32,Argentina
36,Australia
40,Austria
51,Armenia
56,Bélgica
68,Bolivia (Estado Plurinacional de)
76,Brasil
96,Brunei Darussalam
100,Bulgaria
124,Canadá
136,Islas Caimán
142,Asia
150,Europa
156,China
158,Taiwán (provincia de China)
170,Colombia
188,Costa Rica
191,Croacia
192,Cuba
203,República Checa
208,Dinamarca
214,República Dominicana
218,Ecuador
222,El Salvador
246,Finlandia
250,Francia
258,Polinesia Francesa
275,Palestina (Estado de)
276,Alemania
300,Grecia
320,Guatemala
332,Haití
340,Honduras
348,Hungría
356,India
360,Indonesia
364,Irán (República Islámica de)
372,Irlanda
376,Israel
380,Italia
392,Japón
400,Jordania
410,Corea del Sur (República de)
422,Líbano
484,México
504,Marruecos
524,Nepal
528,Países Bajos
548,Vanuatu
554,Nueva Zelandia
558,Nicaragua
578,Noruega
586,Pakistán
591,Panamá
600,Paraguay
604,Perú
608,Filipinas
616,Polonia
620,Portugal
626,Timor-Leste
630,Puerto Rico
642,Rumania
643,Rusia (Federación de)
688,Serbia
710,Sudáfrica
724,España
752,Suecia
756,Suiza
760,República Árabe Siria
764,Tailandia
792,Turquía
804,Ucrania
818,Egipto
826,Reino Unido de Gran Bretaña e Irlanda del Norte
840,Estados Unidos de América
858,Uruguay
862,Venezuela (República Bolivariana de)
997,País no declarado
