REGION;PROVINCIA;COMUNA;AREA;DC;ZC_LOC;NOM_LOCALIDAD;ID_ZONA_LOC;REGION_15R;PROVINCIA_15R;COMUNA_15R
12;121;12101;1;1;1;;9817;12;121;12101
12;121;12101;1;1;2;;4990;12;121;12101
12;121;12101;1;1;3;;8858;12;121;12101
12;121;12101;1;1;4;;617;12;121;12101
12;121;12101;1;2;1;;8930;12;121;12101
12;121;12101;1;2;2;;8360;12;121;12101
12;121;12101;1;3;1;;6519;12;121;12101
12;121;12101;1;3;2;;14385;12;121;12101
12;121;12101;1;3;3;;2117;12;121;12101
12;121;12101;1;3;4;;13760;12;121;12101
12;121;12101;1;3;5;;15199;12;121;12101
12;121;12101;1;4;1;;3145;12;121;12101
12;121;12101;1;4;2;;15221;12;121;12101
12;121;12101;1;4;3;;10693;12;121;12101
12;121;12101;1;4;4;;14305;12;121;12101
12;121;12101;1;4;5;;8632;12;121;12101
12;121;12101;1;4;6;;11692;12;121;12101
12;121;12101;1;4;7;;422;12;121;12101
12;121;12101;1;5;1;;4890;12;121;12101
12;121;12101;1;5;2;;2972;12;121;12101
12;121;12101;1;6;1;;1105;12;121;12101
12;121;12101;1;6;2;;7390;12;121;12101
12;121;12101;1;6;3;;13599;12;121;12101
12;121;12101;1;7;1;;3209;12;121;12101
12;121;12101;1;7;2;;7792;12;121;12101
12;121;12101;1;7;3;;14406;12;121;12101
12;121;12101;1;7;4;;14576;12;121;12101
12;121;12101;1;7;5;;11053;12;121;12101
12;121;12101;1;7;6;;8458;12;121;12101
12;121;12101;1;7;7;;6208;12;121;12101
12;121;12101;1;8;1;;12931;12;121;12101
12;121;12101;1;8;2;;14695;12;121;12101
12;121;12101;1;8;3;;10573;12;121;12101
12;121;12101;1;8;4;;12640;12;121;12101
12;121;12101;1;8;5;;14575;12;121;12101
12;121;12101;1;8;6;;5510;12;121;12101
12;121;12101;1;9;1;;4941;12;121;12101
12;121;12101;1;10;1;;1162;12;121;12101
12;121;12101;1;10;2;;9661;12;121;12101
12;121;12101;1;10;3;;3980;12;121;12101
12;121;12101;1;10;4;;12535;12;121;12101
12;121;12101;1;10;5;;4545;12;121;12101
12;121;12101;2;9;5;BARRANCO AMARILLO;12444;12;121;12101
12;121;12101;2;9;7;CABEZA DE MAR;9168;12;121;12101
12;121;12101;2;9;8;CABO NEGRO;15095;12;121;12101
12;121;12101;2;9;9;CHABUNCO;14049;12;121;12101
12;121;12101;2;9;901;INDETERMINADA;10907;12;121;12101
12;121;12101;2;9;13;ISLA MAGDALENA;15535;12;121;12101
12;121;12101;2;9;14;KON AIKEN;2950;12;121;12101
12;121;12101;2;9;16;LOS CALAFATES;1678;12;121;12101
12;121;12101;2;9;18;MINA RICA;8009;12;121;12101
12;121;12101;2;9;19;OJO BUENO;7984;12;121;12101
12;121;12101;2;9;32;RÍO SECO;8719;12;121;12101
12;121;12101;2;9;6;BARRIO INDUSTRIAL;10058;12;121;12101
12;121;12101;2;9;20;PAMPA ALEGRE;13448;12;121;12101
12;121;12101;2;9;31;RÍO GRANDE;4525;12;121;12101
12;121;12101;2;9;36;SENO OTWAY;7843;12;121;12101
12;121;12101;2;10;2;ANDINO;10927;12;121;12101
12;121;12101;2;10;15;LEÑADURA;15410;12;121;12101
12;121;12101;2;10;17;LYNCH;12273;12;121;12101
12;121;12101;2;10;901;INDETERMINADA;4447;12;121;12101
12;121;12101;2;10;21;PAMPA REDONDA;3583;12;121;12101
12;121;12101;2;10;29;RÍO DE LAS MINAS;3696;12;121;12101
12;121;12101;2;10;30;RÍO DE LOS CIERVOS;1182;12;121;12101
12;121;12101;2;10;33;SAN ISIDRO;6897;12;121;12101
12;121;12101;2;10;10;DISCORDIA;9970;12;121;12101
12;121;12101;2;11;901;INDETERMINADA;2697;12;121;12101
12;121;12101;2;11;31;RÍO GRANDE;10817;12;121;12101
12;121;12101;2;11;22;PARRILLAR;10357;12;121;12101
12;121;12101;2;12;1;AGUA FRESCA;2618;12;121;12101
12;121;12101;2;12;901;INDETERMINADA;9035;12;121;12101
12;121;12101;2;12;10;DISCORDIA;13942;12;121;12101
12;121;12101;2;12;22;PARRILLAR;6999;12;121;12101
12;121;12101;2;12;27;RINCONADA BULNES;14502;12;121;12101
12;121;12101;2;12;34;SAN JUAN;13257;12;121;12101
12;121;12101;2;13;901;INDETERMINADA;13229;12;121;12101
12;121;12101;2;13;35;SANTA MARÍA;9415;12;121;12101
12;121;12101;2;13;22;PARRILLAR;15129;12;121;12101
12;121;12101;2;14;11;ISLA DAWSON;15679;12;121;12101
12;121;12102;2;1;901;INDETERMINADA;7247;12;121;12102
12;121;12102;2;1;2;CAÑADÓN BOMBALOT;3949;12;121;12102
12;121;12102;2;1;4;CHORRILLO ESPERANZA;7617;12;121;12102
12;121;12102;2;1;5;CHORRILLO LAS LATAS;9001;12;121;12102
12;121;12102;2;1;6;CHORRILLO MATEO;9239;12;121;12102
12;121;12102;2;1;7;CRUCE FABRES;5516;12;121;12102
12;121;12102;2;1;8;EL OVEJERO;1990;12;121;12102
12;121;12102;2;1;9;EL ZURDO;11341;12;121;12102
12;121;12102;2;1;10;ENTRE VIENTOS;14433;12;121;12102
12;121;12102;2;1;11;GALLEGO CHICO;1482;12;121;12102
12;121;12102;2;1;12;JOSEFINA;10636;12;121;12102
12;121;12102;2;1;13;KAMPENAIKE;4847;12;121;12102
12;121;12102;2;1;14;LAGUNA BLANCA;10379;12;121;12102
12;121;12102;2;1;3;CARPA MANZANO;10939;12;121;12102
12;121;12102;2;1;1;CACIQUE MULATO;461;12;121;12102
12;121;12102;2;1;15;LAS NIEVES;13075;12;121;12102
12;121;12102;2;1;16;MONTE GALLINA;11284;12;121;12102
12;121;12102;2;1;17;MORRO CHICO;13824;12;121;12102
12;121;12102;2;1;18;SANTA FLORENCIA;6631;12;121;12102
12;121;12102;2;1;20;VILLA TEHUELCHES;13223;12;121;12102
12;121;12103;2;1;901;INDETERMINADA;1748;12;121;12103
12;121;12103;2;1;2;CRUCE FABRES;10668;12;121;12103
12;121;12103;2;1;3;CRUZ DEL SUR;647;12;121;12103
12;121;12103;2;1;5;EL SALTO;8959;12;121;12103
12;121;12103;2;1;12;LAS COLES;15029;12;121;12103
12;121;12103;2;1;13;PALOMARES;757;12;121;12103
12;121;12103;2;1;18;RÍO VERDE;1031;12;121;12103
12;121;12103;2;1;19;SKYRING;8715;12;121;12103
12;121;12103;2;1;14;PONSOMBY;2839;12;121;12103
12;121;12103;2;2;901;INDETERMINADA;8819;12;121;12103
12;121;12103;2;2;8;ISLA RIESCO NORTE;4174;12;121;12103
12;121;12103;2;2;9;ISLA RIESCO SUR;8182;12;121;12103
12;121;12103;2;2;14;PONSOMBY;13522;12;121;12103
12;121;12104;2;1;1;BAHÍA GREGORIO;5012;12;121;12104
12;121;12104;2;1;2;CAÑADÓN GRANDE;12979;12;121;12104
12;121;12104;2;1;3;DUNGENESS;13368;12;121;12104
12;121;12104;2;1;901;INDETERMINADA;249;12;121;12104
12;121;12104;2;1;7;POSESIÓN;1942;12;121;12104
12;121;12104;2;1;8;PUNTA DELGADA;4092;12;121;12104
12;121;12104;2;1;9;PUNTA DUNGENESS;4068;12;121;12104
12;121;12104;2;1;10;SAN GREGORIO;9090;12;121;12104
12;121;12104;2;2;4;FENTON;8893;12;121;12104
12;121;12104;2;2;901;INDETERMINADA;10372;12;121;12104
12;121;12104;2;2;5;OAZY HARBOUR NORTE;2749;12;121;12104
12;121;12104;2;2;6;OAZY HARBOUR SUR;4639;12;121;12104
12;121;12104;2;2;11;TENIENTE MERINO;8944;12;121;12104
12;122;12201;1;1;1;;2006;12;122;12201
12;122;12201;2;1;1;BAHÍA VIRGINIA;607;12;122;12201
12;122;12201;2;1;901;INDETERMINADA;12447;12;122;12201
12;122;12201;2;1;6;CALETA MEJILLONES;7262;12;122;12201
12;122;12201;2;1;10;CORRALES VIEJOS;15246;12;122;12201
12;122;12201;2;1;12;ENSENADA VILLARINO;5612;12;122;12201
12;122;12201;2;1;21;LOS LÍMITES;12481;12;122;12201
12;122;12201;2;1;24;PUERTO NAVARINO;3283;12;122;12201
12;122;12201;2;1;25;PUERTO TORO;13964;12;122;12201
12;122;12201;2;1;3;BARRIO INDUSTRIAL;6391;12;122;12201
12;122;12201;2;2;901;INDETERMINADA;5810;12;122;12201
12;122;12202;2;1;2;ISLA ARDLEY;7593;12;122;12202
12;123;12301;1;1;1;;9907;12;123;12301
12;123;12301;1;1;2;;8275;12;123;12301
12;123;12301;2;1;1;BAHÍA INÚTIL;10523;12;123;12301
12;123;12301;2;1;4;CORDÓN BAQUEDANO;9884;12;123;12301
12;123;12301;2;1;5;GENTE GRANDE;8342;12;123;12301
12;123;12301;2;1;8;PORVENIR;5050;12;123;12301
12;123;12301;2;1;12;SANTA MARÍA;12581;12;123;12301
12;123;12301;2;1;7;LAGUNA DE LOS CISNES;2399;12;123;12301
12;123;12301;2;2;1;BAHÍA INÚTIL;13452;12;123;12301
12;123;12301;2;2;4;CORDÓN BAQUEDANO;6746;12;123;12301
12;123;12301;2;2;6;GRASERÍA;13030;12;123;12301
12;123;12301;2;2;10;RÍO NUEVO;12764;12;123;12301
12;123;12301;2;3;2;CALAFATE;15667;12;123;12301
12;123;12301;2;3;3;CHINA CREEK;5041;12;123;12301
12;123;12301;2;3;9;RÍO CHICO;5827;12;123;12301
12;123;12301;2;3;11;SAN SEBASTIÁN;9028;12;123;12301
12;123;12302;2;1;2;BELLAVISTA;4739;12;123;12302
12;123;12302;2;1;4;CATALINA;16018;12;123;12302
12;123;12302;2;1;5;CERRO SOMBRERO;10644;12;123;12302
