REGION,PROVINCIA,COMUNA,AREA,DC,ZC_LOC,NOM_LOCALIDAD,ID_ZONA_LOC,REGION_15R,PROVINCIA_15R,COMUNA_15R
16,161,16101,1,1,1,,9423,8,84,8401
16,161,16101,1,1,2,,7523,8,84,8401
16,161,16101,1,1,3,,293,8,84,8401
16,161,16101,1,1,4,,5294,8,84,8401
16,161,16101,1,2,1,,4484,8,84,8401
16,161,16101,1,2,2,,9740,8,84,8401
16,161,16101,1,2,3,,6692,8,84,8401
16,161,16101,1,2,4,,11621,8,84,8401
16,161,16101,1,3,1,,15957,8,84,8401
16,161,16101,1,3,2,,7544,8,84,8401
16,161,16101,1,3,3,,14653,8,84,8401
16,161,16101,1,3,4,,9815,8,84,8401
16,161,16101,1,4,1,,126,8,84,8401
16,161,16101,1,4,2,,6960,8,84,8401
16,161,16101,1,4,3,,3321,8,84,8401
16,161,16101,1,4,4,,10348,8,84,8401
16,161,16101,1,5,1,,10491,8,84,8401
16,161,16101,1,5,2,,14213,8,84,8401
16,161,16101,1,5,3,,10087,8,84,8401
16,161,16101,1,5,4,,15359,8,84,8401
16,161,16101,1,5,5,,1378,8,84,8401
16,161,16101,1,6,1,,2301,8,84,8401
16,161,16101,1,8,1,,10387,8,84,8401
16,161,16101,1,12,1,,3615,8,84,8401
16,161,16101,1,12,2,,4102,8,84,8401
16,161,16101,1,13,1,,4133,8,84,8401
16,161,16101,1,13,2,,9429,8,84,8401
16,161,16101,1,13,3,,4681,8,84,8401
16,161,16101,1,13,4,,240,8,84,8401
16,161,16101,1,14,1,,9978,8,84,8401
16,161,16101,1,14,2,,2819,8,84,8401
16,161,16101,1,14,3,,6709,8,84,8401
16,161,16101,1,14,4,,4522,8,84,8401
16,161,16101,1,15,1,,5021,8,84,8401
16,161,16101,1,15,2,,5491,8,84,8401
16,161,16101,1,15,3,,3992,8,84,8401
16,161,16101,1,15,4,,14521,8,84,8401
16,161,16101,1,15,5,,8358,8,84,8401
16,161,16101,1,15,6,,142,8,84,8401
16,161,16101,1,15,7,,7742,8,84,8401
16,161,16101,1,15,8,,745,8,84,8401
16,161,16101,1,15,9,,55,8,84,8401
16,161,16101,1,15,10,,11022,8,84,8401
16,161,16101,1,15,11,,190,8,84,8401
16,161,16101,1,15,12,,7825,8,84,8401
16,161,16101,1,15,13,,1129,8,84,8401
16,161,16101,1,15,14,,9636,8,84,8401
16,161,16101,1,16,1,,8403,8,84,8401
16,161,16101,1,16,2,,7752,8,84,8401
16,161,16101,1,16,3,,10352,8,84,8401
16,161,16101,1,16,4,,12879,8,84,8401
16,161,16101,1,16,5,,1614,8,84,8401
16,161,16101,1,17,1,,9160,8,84,8401
16,161,16101,1,17,2,,8399,8,84,8401
16,161,16101,1,17,3,,15171,8,84,8401
16,161,16101,1,17,4,,15735,8,84,8401
16,161,16101,2,5,10,COLONIA BERNARDO O'HIGGINS PONIENTE,11221,8,84,8401
16,161,16101,2,5,26,ÑUBLE ALTO,2953,8,84,8401
16,161,16101,2,5,27,ORO VERDE,12473,8,84,8401
16,161,16101,2,5,28,PARQUE LANTAÑO,5677,8,84,8401
16,161,16101,2,6,27,ORO VERDE,2378,8,84,8401
16,161,16101,2,6,901,INDETERMINADA,1452,8,84,8401
16,161,16101,2,6,3,CAMINO GUAPE,3377,8,84,8401
16,161,16101,2,6,14,EL GUAPE,14371,8,84,8401
16,161,16101,2,6,24,MALLOA,3576,8,84,8401
16,161,16101,2,7,1,BARRIALES,2620,8,84,8401
16,161,16101,2,7,901,INDETERMINADA,5065,8,84,8401
16,161,16101,1,7,1,,15446,8,84,8401
16,161,16101,1,7,2,,342,8,84,8401
16,161,16101,2,8,7,CHONCHORAL,4764,8,84,8401
16,161,16101,2,8,8,COLLIGUAY,7668,8,84,8401
16,161,16101,2,8,11,CONFLUENCIA,2622,8,84,8401
16,161,16101,2,8,12,CUCA,14792,8,84,8401
16,161,16101,2,8,15,HUECHUPÍN,9062,8,84,8401
16,161,16101,2,8,31,QUINCHAMALÍ,7754,8,84,8401
16,161,16101,2,8,37,SANTA CRUZ DE CUCA,4018,8,84,8401
16,161,16101,2,9,901,INDETERMINADA,6501,8,84,8401
16,161,16101,2,9,21,LINARES,12171,8,84,8401
16,161,16101,2,10,4,CATO,2367,8,84,8401
16,161,16101,2,11,901,INDETERMINADA,8027,8,84,8401
16,161,16101,2,11,30,QUILMO,749,8,84,8401
16,161,16101,2,12,2,BOYÉN,8569,8,84,8401
16,161,16101,2,12,17,LAS CHILCAS,11542,8,84,8401
