comuna_nombre,EDUARDO ARTES BRICHETTI,GABRIEL BORIC FONT,JOSE ANTONIO KAST RIST,MARCO ENRIQUEZ-OMINAMI GUMUCIO,FRANCO PARISI FERNANDEZ,YASNA PROVOSTE CAMPILLAY,SEBASTIAN SICHEL RAMIREZ,Votos Blancos,Votos Nulos
ALGARROBO,90,1978,2877,472,568,817,1352,20,43
ALHUE,31,636,467,151,357,520,320,16,19
ALTO BIOBIO,40,377,502,119,255,399,155,80,81
ALTO DEL CARMEN,11,260,265,56,365,891,87,14,15
ALTO HOSPICIO,263,3183,5860,1712,9884,2212,1212,70,173
ANCUD,230,3793,4372,938,2120,2350,1826,131,123
ANDACOLLO,64,1181,661,408,1172,797,307,49,61
ANGOL,153,2805,9972,940,3070,2197,2014,110,177
ANTARTICA,0,4,34,2,4,1,2,0,0
ANTOFAGASTA,1635,28156,27264,8870,36236,10143,9976,383,959
ANTUCO,17,245,547,91,400,332,210,11,27
ARAUCO,123,2203,4983,862,3366,1687,1138,100,143
ARICA,952,14763,24070,4536,23034,7921,6020,295,712
AYSEN,126,2188,2314,551,1664,1402,716,86,102
BUIN,513,10500,11636,3199,5237,3809,4609,132,481
BULNES,79,1265,3045,458,965,1455,1273,78,104
CABILDO,101,2322,1427,680,1308,1258,663,42,76
CABO DE HORNOS(EX-NAVARINO),10,189,421,28,82,74,63,5,6
CABRERO,88,1309,3698,677,2771,1279,942,98,93
CALAMA,606,8984,11642,3949,23532,4912,3589,189,521
CALBUCO,154,2162,3387,710,2188,1432,1106,168,139
CALDERA,140,1516,1263,458,1741,1680,440,38,50
CALERA,276,5607,4012,2443,4967,2027,2066,75,201
CALERA DE TANGO,115,2586,3596,693,754,1067,1693,40,59
CALLE LARGA,91,1304,1365,620,1243,942,736,40,98
CAMARONES,6,111,252,53,375,195,57,4,14
CAMINA,3,60,384,16,328,47,31,7,7
CANELA,46,1161,663,134,679,851,294,36,39
CARAHUE,113,1226,3976,497,944,1748,956,84,90
CARTAGENA,158,2188,2321,1040,877,1173,971,37,68
CASABLANCA,151,2850,3330,768,1081,1254,1386,44,106
CASTRO,320,4868,4442,954,2733,2414,1868,123,149
CATEMU,47,1220,990,483,1142,663,591,39,62
CAUQUENES,113,1999,7099,762,1311,1967,2374,127,182
CANETE,157,1742,6296,571,1361,1457,894,101,122
CERRILLOS,597,9613,7195,3530,2993,2983,3802,84,227
CERRO NAVIA,1471,15350,8802,7016,5398,5813,4615,222,360
CHAITEN,11,291,555,69,126,304,149,32,13
CHANCO,16,462,1719,140,235,583,391,45,63
CHANARAL,51,1053,702,263,1249,1273,278,20,45
CHEPICA,34,925,1559,338,586,841,853,25,34
CHIGUAYANTE,491,8106,9097,2774,5924,3892,4085,100,228
CHILE CHICO,26,601,488,86,184,332,173,22,29
CHILLAN,703,14744,24291,3914,9348,9010,9420,242,657
CHILLAN VIEJO,101,1894,3694,822,1728,1546,1308,39,97
CHIMBARONGO,122,2540,3465,980,2337,1980,1797,119,143
CHOLCHOL,86,789,1820,355,822,780,549,66,129
CHONCHI,96,1209,1194,280,1001,975,498,46,47
CISNES,23,409,764,118,264,283,210,27,17
COBQUECURA,23,460,805,124,266,450,414,29,35
COCHAMO,19,284,646,69,148,181,197,32,13
COCHRANE,12,357,428,49,101,264,176,29,24
CODEGUA,58,1327,1175,522,1008,642,578,35,64
COELEMU,50,1077,2711,405,1142,1417,784,84,69
COIHUECO,87,1024,4445,464,997,1420,1220,90,88
COINCO,24,769,946,291,422,344,475,23,37
COLBUN,76,1512,2140,674,1132,1198,834,79,94
COLCHANE,4,17,419,5,433,18,10,1,8
COLINA,385,7968,18091,3011,3995,3522,9621,177,297
COLLIPULLI,89,1119,4949,486,1170,923,676,107,105
COLTAUCO,74,1526,1880,582,1139,974,943,39,59
COMBARBALA,67,1212,885,211,946,1270,377,58,56
CONCEPCION,1428,24338,30048,5752,12689,11041,12723,313,666
CONCHALI,1146,17619,10987,6538,4786,5973,6007,194,410
CONCON,222,5100,9357,1251,2128,2029,4702,76,138
CONSTITUCION,188,2927,4479,1188,3860,2754,2062,129,180
CONTULMO,26,330,1557,139,215,306,138,21,23
COPIAPO,786,11766,11839,3225,13573,10373,4341,160,377
COQUIMBO,1052,18946,15849,5792,14960,7919,7474,315,554
CORONEL,496,8251,11597,3193,10237,4777,2766,173,431
CORRAL,22,578,556,134,310,519,148,24,19
COYHAIQUE,284,5787,6756,1090,2692,3845,2350,124,210
CUNCO,57,1091,3389,412,961,1167,779,53,77
CURACAUTIN,59,996,4160,353,657,840,603,62,82
CURACAVI,168,3875,3664,1002,1238,1661,1831,75,95
CURACO DE VELEZ,10,255,301,57,206,291,114,16,11
CURANILAHUE,157,2127,3898,789,2550,1962,801,128,150
CURARREHUE,51,548,1231,124,270,333,341,21,23
CUREPTO,35,887,1062,191,385,842,630,41,56
CURICO,651,12532,17171,4627,7880,6936,7992,253,450
DALCAHUE,67,919,1086,259,796,709,488,38,45
DIEGO DE ALMAGRO,73,1085,561,244,1486,987,192,20,46
DONIHUE,93,2293,1975,760,1477,1009,1085,46,69
EL BOSQUE,1207,18771,13458,7744,6210,7127,6539,203,484
EL CARMEN,25,567,2331,209,395,926,649,37,29
EL MONTE,204,3596,3130,1289,1890,1764,1458,83,149
EL QUISCO,123,2406,2027,663,889,815,1022,19,43
EL TABO,141,2224,1791,759,535,840,799,18,38
EMPEDRADO,6,183,855,94,300,235,192,11,17
ERCILLA,50,485,1490,182,179,322,211,20,33
ESTACION CENTRAL,1163,18230,12049,5491,3632,5736,6345,194,591
FLORIDA,55,623,1562,317,675,804,606,38,59
FREIRE,126,1381,3630,571,950,1630,911,90,120
FREIRINA,22,425,305,69,512,1168,135,12,17
FRESIA,44,838,2052,211,491,1178,458,69,63
FRUTILLAR,60,1351,3260,375,1208,1329,786,63,54
FUTALEUFU,15,208,435,34,60,155,150,14,8
FUTRONO,74,1008,2803,244,806,902,692,42,67
GALVARINO,73,880,1802,376,473,1134,364,59,68
GENERAL LAGOS,5,24,140,26,239,39,26,7,7
GORBEA,40,794,3155,228,639,841,805,45,55
GRANEROS,153,3724,2891,1348,2238,1517,1479,65,166
GUAITECAS,4,129,150,18,68,80,43,5,2
HIJUELAS,59,1454,1725,644,1894,762,778,34,72
HUALAIHUE,48,628,1041,223,678,600,389,70,51
HUALANE,40,817,992,259,366,1017,660,30,37
HUALPEN,523,8184,9919,3421,8828,4598,3711,115,290
HUALQUI,103,1433,2304,847,1802,1063,823,66,94
HUARA,12,207,479,78,667,157,88,16,21
HUASCO,58,641,538,193,930,1309,196,15,33
HUECHURABA,771,11004,9452,4067,3205,4524,6760,158,308
ILLAPEL,150,3146,1953,745,2738,2104,1061,70,82
INDEPENDENCIA,749,11569,8327,2806,2072,3408,4646,97,208
IQUIQUE,982,15562,24113,4687,15755,6037,6581,404,556
ISLA DE MAIPO,199,3466,3638,1367,1505,1827,1743,68,98
ISLA DE PASCUA,41,972,581,323,311,352,314,73,60
JUAN FERNANDEZ,5,144,61,22,6,37,42,3,1
LA CISTERNA,733,13048,9830,3410,2560,4101,5577,78,308
LA CRUZ,100,2124,2639,646,1616,808,1249,17,53
LA ESTRELLA,19,406,514,113,128,326,301,24,12
LA FLORIDA,3003,58319,33562,13959,10735,16861,23602,431,1081
LA GRANJA,1002,14887,8105,5644,4760,5911,4561,133,366
LA HIGUERA,30,459,322,116,405,296,109,26,23
LA LIGUA,195,4229,3165,1079,2257,1896,1680,59,114
LA PINTANA,1227,16023,9018,9024,7364,7554,4585,275,561
LA REINA,574,15721,17036,1779,1222,6293,13724,151,289
LA SERENA,1218,23245,20297,5558,13743,9044,10033,255,533
LA UNION,163,2783,5954,763,2212,2322,1840,97,109
LAGO RANCO,51,703,1740,188,487,655,475,64,67
LAGO VERDE,11,75,216,16,31,65,46,5,11
LAGUNA BLANCA,3,57,134,26,25,33,24,2,2
LAJA,83,1299,2709,632,2295,1017,880,64,118
LAMPA,456,7393,7308,3219,3985,2752,3676,121,212
LANCO,78,1413,2312,309,1000,981,561,69,59
LAS CABRAS,104,1993,2392,779,826,1470,1282,97,96
LAS CONDES,598,22145,78095,2556,1826,12286,53138,343,716
LAUTARO,144,2171,6914,785,1829,2197,1281,96,169
LEBU,95,1581,3442,647,1238,1361,527,80,115
LICANTEN,29,562,735,187,347,539,628,12,15
LIMACHE,280,5242,5734,1295,2528,1791,2418,79,170
LINARES,318,7900,12574,2371,4896,4137,4493,157,288
LITUECHE,31,673,935,200,208,615,470,28,26
LLAILLAY,169,2900,1688,974,2060,1441,1006,49,125
LLANQUIHUE,66,1395,2618,553,1390,1186,627,70,63
LO BARNECHEA,200,4617,28309,1249,1189,2570,16644,102,164
LO ESPEJO,923,12552,6382,5690,4296,4562,3233,164,298
